Name,Park Code,Region,State,lat,lng,Park Website,See Observations in iNaturalist
Fossil Butte National Monument,FOBU,IMR,WY,41.85634277,-110.7624714,https://www.nps.gov/FOBU/index.htm,http://www.inaturalist.org/observations?place_id=95183&subview=grid
Fort Caroline National Memorial,FOCA,SER,FL,30.38452103,-81.50029453,https://www.nps.gov/FOCA/index.htm,http://www.inaturalist.org/observations?place_id=95163&subview=grid
Fort Davis National Historic Site,FODA,IMR,TX,30.59930362,-103.8961905,https://www.nps.gov/FODA/index.htm,http://www.inaturalist.org/observations?place_id=95178&subview=grid
Fort Donelson National Battlefield,FODO,SER,TN,36.48728222,-87.86088301,https://www.nps.gov/FODO/index.htm,http://www.inaturalist.org/observations?place_id=95182&subview=grid
Fort Frederica National Monument,FOFR,SER,GA,31.22355511,-81.38984256,https://www.nps.gov/FOFR/index.htm,http://www.inaturalist.org/observations?place_id=95184&subview=grid
Fort Laramie National Historic Site,FOLA,IMR,WY,42.20302502,-104.5459193,https://www.nps.gov/FOLA/index.htm,http://www.inaturalist.org/observations?place_id=95185&subview=grid
Fort Larned National Historic Site,FOLS,MWR,KS,38.18449077,-99.21697509,https://www.nps.gov/FOLS/index.htm,http://www.inaturalist.org/observations?place_id=95186&subview=grid
Fort Matanzas National Monument,FOMA,SER,FL,29.71140527,-81.23866231,https://www.nps.gov/FOMA/index.htm,http://www.inaturalist.org/observations?place_id=95187&subview=grid
Fort McHenry National Monument and Historic Shrine,FOMC,NER,MD,39.26395311,-76.58044164,https://www.nps.gov/FOMC/index.htm,http://www.inaturalist.org/observations?place_id=65738&subview=grid
Fort Necessity National Battlefield,FONE,NER,PA,39.81003749,-79.5886907,https://www.nps.gov/FONE/index.htm,http://www.inaturalist.org/observations?place_id=95189&subview=grid
Fort Point National Historic Site,FOPO,PWR,CA,37.80840018,-122.4737172,https://www.nps.gov/FOPO/index.htm,http://www.inaturalist.org/observations?place_id=95170&subview=grid
Fort Pulaski National Monument,FOPU,SER,GA,32.03477743,-80.94362859,https://www.nps.gov/FOPU/index.htm,http://www.inaturalist.org/observations?place_id=95171&subview=grid
Fort Raleigh National Historic Site,FORA,SER,NC,35.93636827,-75.70938761,https://www.nps.gov/FORA/index.htm,http://www.inaturalist.org/observations?place_id=95172&subview=grid
Fort Scott National Historic Site,FOSC,MWR,KS,37.84358848,-94.70429174,https://www.nps.gov/FOSC/index.htm,http://www.inaturalist.org/observations?place_id=95188&subview=grid
Fort Smith National Historic Site,FOSM,MWR,AR,35.38837825,-94.43130219,https://www.nps.gov/FOSM/index.htm,http://www.inaturalist.org/observations?place_id=95157&subview=grid
Fort Stanwix National Monument,FOST,NER,NY,43.2105344,-75.45557626,https://www.nps.gov/FOST/index.htm,http://www.inaturalist.org/observations?place_id=95190&subview=grid
Fort Sumter National Monument,FOSU,SER,SC,32.75359427,-79.87933364,https://www.nps.gov/FOSU/index.htm,http://www.inaturalist.org/observations?place_id=95191&subview=grid
Ford's Theatre National Historic Site,FOTH,NCR,DC,38.89666226,-77.02565974,https://www.nps.gov/FOTH/index.htm,http://www.inaturalist.org/observations?place_id=97417&subview=grid
Fort Union National Monument,FOUN,IMR,NM,35.90737075,-105.0120174,https://www.nps.gov/FOUN/index.htm,http://www.inaturalist.org/observations?place_id=95192&subview=grid
Fort Union Trading Post National Historic Site,FOUS,MWR,ND,47.99898646,-104.0380786,https://www.nps.gov/FOUS/index.htm,http://www.inaturalist.org/observations?place_id=95195&subview=grid
Fort Vancouver National Historic Site,FOVA,PWR,WA,45.62356027,-122.6616376,https://www.nps.gov/FOVA/index.htm,http://www.inaturalist.org/observations?place_id=95193&subview=grid
Fort Washington Park,FOWA,NCR,MD,38.71217666,-77.02875093,https://www.nps.gov/FOWA/index.htm,http://www.inaturalist.org/observations?place_id=97420&subview=grid
Franklin Delano Roosevelt Memorial,FRDE,NCR,DC,38.88341273,-77.04311542,https://www.nps.gov/FRDE/index.htm,http://www.inaturalist.org/observations?place_id=97421&subview=grid
Frederick Douglass National Historic Site,FRDO,NCR,DC,38.86297683,-76.98507919,https://www.nps.gov/FRDO/index.htm,http://www.inaturalist.org/observations?place_id=97415&subview=grid
Fredericksburg,FRED,NER,VA,38.292854,-77.46918659,https://www.nps.gov/FRED/index.htm,http://www.inaturalist.org/observations?place_id=95180&subview=grid
Friendship Hill National Historic Site,FRHI,NER,PA,39.77545488,-79.92528004,https://www.nps.gov/FRHI/index.htm,http://www.inaturalist.org/observations?place_id=95194&subview=grid
Frederick Law Olmsted National Historic Site,FRLA,NER,MA,42.32550867,-71.13112957,https://www.nps.gov/FRLA/index.htm,http://www.inaturalist.org/observations?place_id=95179&subview=grid
First State National Historical Park,FRST,NER,DE,39.83184434,-75.56362482,https://www.nps.gov/FRST/index.htm,http://www.inaturalist.org/observations?place_id=95201&subview=grid
